"","ROUTE","BMP","EMP","TOTALCRASHES","K","AB","C","KABC","KAB","PDO","ADVERSEPAVE","DAY","NIGHT","YEAR","AADT","MEDWID","MED_TYPE","LSHLDWID","LSHL_TYP","SURF_WID","RSHLDWID","RSHL_TYP","FUNC_CLS","NO_LANES","LANEWID","RODWYCLS"
"208","0100000035E",88.268,90.624,34,0,3,6,9,3,25,11,21,12,2011,52742,">30","No Barrier/Unkown",4,"Other",24,10,"Other",11,4,12,1
"209","0100000035E",90.624,92.397,15,0,0,1,1,0,14,9,10,5,2011,64448,">30","No Barrier/Unkown",4,"Other",24,10,"Other",11,4,12,1
"210","0100000035E",92.397,92.649,16,0,0,2,2,0,14,9,11,5,2011,67469,">30","No Barrier/Unkown",4,"Other",24,10,"Other",11,4,12,1
"211","0100000035E",92.649,93.104,16,0,0,3,3,0,13,8,11,5,2011,67469,">30","No Barrier/Unkown",4,"Other",24,10,"Other",11,4,12,1
"212","0100000035E",93.104,93.151,1,0,0,0,0,0,1,0,1,0,2011,67469,">30","No Barrier/Unkown",4,"Other",24,10,"Other",11,5,13,1
"213","0100000035E",93.151,96.981,51,0,4,9,13,4,38,26,35,16,2011,70224,">30","No Barrier/Unkown",9,"Other",39,8,"Other",11,6,13,1
"214","0100000035E",96.981,97.396,15,0,2,2,4,2,11,10,8,7,2011,76000,">30","No Barrier/Unkown",9,"Other",39,8,"Other",11,7,13,1
"215","0100000035E",97.396,98.276,19,0,4,2,6,4,13,3,10,9,2011,96672,">30","No Barrier/Unkown",9,"Other",51,8,"Other",11,8,13,1
"216","0100000035E",98.276,98.361,3,0,0,1,1,0,2,1,2,1,2011,96672,">30","No Barrier/Unkown",9,"Other",51,8,"Other",11,8,12,1
"217","0100000035E",98.361,98.796,15,0,1,2,3,1,12,6,11,4,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",48,10,"Bitum Conc",11,8,12,1
"218","0100000035E",98.796,99.18,0,0,0,0,0,0,0,0,0,0,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",48,10,"Bitum Conc",11,8,12,1
"219","0100000035E",99.18,99.375,5,0,2,0,2,2,3,0,4,1,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",48,10,"Bitum Conc",11,8,12,1
"220","0100000035E",99.375,99.391,3,0,2,0,2,2,1,0,3,0,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",48,10,"Bitum Conc",11,7,12,1
"221","0100000035E",99.391,99.448,1,0,0,0,0,0,1,1,1,0,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",48,10,"Bitum Conc",11,7,12,1
"222","0100000035E",99.448,99.604,0,0,0,0,0,0,0,0,0,0,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"223","0100000035E",99.604,99.684,26,0,1,4,5,1,21,15,22,4,2011,101707,">30","No Barrier/Unkown",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"224","0100000035E",99.684,100.806,6,0,2,1,3,2,3,2,4,2,2011,78546,">30","No Barrier/Unkown",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"225","0100000035E",100.806,100.92,0,0,0,0,0,0,0,0,0,0,2011,78546,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,6,99,1
"226","0100000035E",100.92,101.132,0,0,0,0,0,0,0,0,0,0,2011,78546,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"227","0100000035E",101.132,101.169,7,0,1,0,1,1,6,1,5,2,2011,78546,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"228","0100000035E",101.169,101.263,8,0,1,0,1,1,7,1,5,3,2011,78546,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"229","0100000035E",101.263,102.505,10,0,2,1,3,2,7,3,7,3,2011,83078,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"230","0100000035E",102.505,102.54,0,0,0,0,0,0,0,0,0,0,2011,85595,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"231","0100000035E",102.54,102.59,14,1,1,0,2,2,12,7,9,5,2011,85595,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"232","0100000035E",102.59,102.75,17,1,1,1,3,2,14,8,11,6,2011,85595,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"233","0100000035E",102.75,103.341,5,0,0,1,1,0,4,2,5,0,2011,79856,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"234","0100000035E",103.341,103.491,8,0,0,2,2,0,6,6,8,0,2011,75392,"1-30","Barrier",10,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"235","0100000035E",103.491,103.583,0,0,0,0,0,0,0,0,0,0,2011,81344,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,4,12,1
"236","0100000035E",103.583,103.671,1,0,0,0,0,0,1,1,1,0,2011,81344,"1-30","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"237","0100000035E",103.671,103.692,15,0,0,0,0,0,14,7,4,11,2011,81344,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,5,12,1
"238","0100000035E",103.692,103.775,6,0,0,1,1,0,4,4,1,5,2011,81344,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,5,12,1
"239","0100000035E",103.775,103.787,1,0,0,0,0,0,1,0,0,1,2011,81344,"VR","Barrier",6,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"240","0100000035E",103.787,104.066,3,0,1,0,1,1,2,0,1,2,2011,81344,"VR","Barrier",6,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"241","0100000035E",104.066,104.272,6,0,2,2,4,2,2,1,3,3,2011,71424,"VR","Barrier",6,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"242","0100000035E",104.272,104.402,0,0,0,0,0,0,0,0,0,0,2011,71424,"VR","Barrier",6,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"243","0100000035E",104.402,104.532,24,0,1,4,5,1,19,8,16,8,2011,71424,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,5,12,1
"244","0100000035E",104.532,104.993,3,0,0,1,1,0,2,3,2,1,2011,71424,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"245","0100000035E",104.993,105.065,6,0,0,1,1,0,5,1,4,2,2011,71424,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"246","0100000035E",105.065,105.217,2,0,0,1,1,0,1,0,2,0,2011,71424,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"247","0100000035E",105.217,105.562,8,0,1,3,4,1,4,2,6,2,2011,71424,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"248","0100000035E",105.562,105.797,10,0,2,3,5,2,5,4,8,2,2011,82336,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"249","0100000035E",105.797,105.852,0,0,0,0,0,0,0,0,0,0,2011,82336,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"250","0100000035E",105.852,106.203,1,0,0,0,0,0,1,0,0,1,2011,82336,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,5,12,1
"251","0100000035E",106.203,106.228,0,0,0,0,0,0,0,0,0,0,2011,82336,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,5,12,1
"252","0100000035E",106.228,106.389,3,0,0,1,1,0,2,1,3,0,2011,74400,"VR","Barrier",6,"Bitum Conc",24,10,"Bitum Conc",11,4,12,1
"253","0100000035E",106.389,106.444,1,0,0,0,0,0,1,0,1,0,2011,74400,"VR","Barrier",5,"Bitum Conc",36,0,"Other",11,5,12,1
"254","0100000035E",106.444,107.006,19,0,3,4,7,3,12,3,17,2,2011,56544,"VR","Barrier",5,"Bitum Conc",36,0,"Other",11,5,12,1
"255","0100000035E",107.006,107.147,1,0,0,1,1,0,0,0,0,1,2011,56544,"VR","Barrier",0,"Other",24,0,"Other",11,4,12,1
"256","0100000035E",107.147,107.497,36,0,0,12,12,0,24,12,26,10,2011,56544,"1-30","Barrier",0,"Other",43,0,"Other",11,4,12,1
"257","0100000035E",107.497,107.614,14,0,1,6,7,1,7,2,14,0,2011,183520,"1-30","Barrier",10,"Other",60,10,"Other",11,10,12,1
"258","0100000035E",107.614,107.795,43,0,2,8,10,2,33,21,25,18,2011,143840,"VR","Barrier",6,"Other",24,10,"Other",11,4,12,1
"259","0100000035E",107.795,108.075,25,0,1,5,6,1,19,9,19,6,2011,143840,"VR","Barrier",6,"Other",36,10,"Other",11,6,12,1
"260","0100000035E",108.075,109.838,134,0,9,27,36,9,98,46,93,40,2011,138420,"VR","Barrier",6,"Bitum Conc",36,10,"Other",11,6,12,1
"261","0100000035E",109.838,110.42,35,0,2,6,8,2,27,12,25,10,2011,130944,"1-30","Barrier",6,"Other",36,10,"Other",11,6,12,1
"262","0100000035E",110.42,110.76,23,0,0,5,5,0,18,8,17,6,2011,130944,"1-30","Barrier",6,"Other",36,10,"Other",11,6,12,1
"263","0100000035E",110.76,111.416,38,0,1,10,11,1,27,10,31,7,2011,128960,"1-30","Barrier",10,"Other",36,10,"Other",11,6,12,1
"264","0100000035E",111.416,111.89,46,0,3,14,17,3,29,20,30,16,2011,114080,"1-30","Barrier",10,"Other",36,10,"Other",11,6,12,1
"265","0100000035E",111.89,112.747,22,0,0,7,7,0,15,13,19,3,2011,111600,"1-30","Barrier",10,"Other",48,10,"Other",11,8,12,1
"266","0100000035E",112.747,112.978,4,0,0,1,1,0,3,1,3,1,2011,109120,"1-30","Barrier",14,"Other",36,12,"Bitum Conc",11,8,12,1
"267","0100000035E",112.978,113.117,0,0,0,0,0,0,0,0,0,0,2011,109120,"1-30","Barrier",14,"Other",36,12,"Bitum Conc",11,8,12,1
"268","0100000035E",113.117,113.164,0,0,0,0,0,0,0,0,0,0,2011,109120,"VR","No Barrier/Unkown",14,"Other",36,12,"Bitum Conc",11,8,12,1
"269","0100000035E",113.164,113.287,2,0,0,0,0,0,2,1,1,1,2011,109120,"VR","No Barrier/Unkown",14,"Other",36,12,"Bitum Conc",11,6,12,1
"270","0100000035E",113.287,113.448,16,0,2,3,5,2,11,10,12,4,2011,109120,"1-30","Barrier",14,"Other",36,12,"Bitum Conc",11,6,12,1
"271","0100000035E",113.448,113.478,0,0,0,0,0,0,0,0,0,0,2011,109120,"1-30","Barrier",14,"Other",36,12,"Bitum Conc",11,6,12,1
"272","0100000035E",113.478,113.531,2,0,0,1,1,0,1,2,1,1,2011,109120,"1-30","Barrier",14,"Other",36,12,"Bitum Conc",11,6,12,1
"273","0100000035E",113.531,113.749,4,0,0,1,1,0,3,4,3,1,2011,119040,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"274","0100000035E",113.749,114.077,9,0,0,2,2,0,7,6,7,2,2011,119040,"1-30","Barrier",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"275","0100000035E",114.077,114.181,1,0,0,1,1,0,0,1,0,1,2011,119040,"VR","No Barrier/Unkown",10,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"276","0100000035E",114.181,114.953,15,0,1,3,4,1,11,10,8,7,2011,106144,"VR","No Barrier/Unkown",4,"Bitum Conc",36,10,"Bitum Conc",11,6,12,1
"277","0100000035E",114.953,115.316,9,0,2,3,5,2,4,2,3,6,2011,80352,"VR","No Barrier/Unkown",4,"Bitum Conc",36,10,"Bitum Conc",11,5,12,1
"278","0100000035E",115.316,115.577,19,0,0,2,2,0,17,7,11,7,2011,74400,"VR","No Barrier/Unkown",4,"Bitum Conc",36,10,"Bitum Conc",11,6,10,1
"279","0100000035E",115.577,116.967,17,0,1,4,5,1,12,7,11,6,2011,74400,"VR","No Barrier/Unkown",4,"Bitum Conc",36,10,"Bitum Conc",11,4,15,1
"280","0100000035E",116.967,117.47,36,0,2,12,14,2,21,14,28,8,2011,56544,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"281","0100000035E",117.47,117.564,24,0,2,7,9,2,14,9,16,8,2011,56544,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"282","0100000035E",117.564,117.971,11,0,0,5,5,0,6,4,10,1,2011,56544,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"283","0100000035E",117.971,118.047,1,0,0,1,1,0,0,1,1,0,2011,56544,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"284","0100000035E",118.047,118.235,0,0,0,0,0,0,0,0,0,0,2011,56544,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"285","0100000035E",118.235,120.57,31,1,4,11,16,5,15,12,25,6,2011,46624,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"286","0100000035E",120.57,123.075,15,1,1,6,8,2,7,5,10,5,2011,46624,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"287","0100000035E",123.075,123.274,2,0,0,0,0,0,2,1,0,2,2011,46624,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"288","0100000035E",123.274,123.429,1,0,0,0,0,0,1,1,1,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"289","0100000035E",123.429,123.609,8,1,0,3,4,1,4,4,3,5,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"290","0100000035E",123.609,123.647,0,0,0,0,0,0,0,0,0,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"291","0100000035E",123.647,123.738,0,0,0,0,0,0,0,0,0,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"292","0100000035E",123.738,123.905,3,0,0,2,2,0,1,0,1,2,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"293","0100000035E",123.905,124.145,0,0,0,0,0,0,0,0,0,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"294","0100000035E",124.145,125.76,3,0,0,1,1,0,2,2,2,1,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"295","0100000035E",125.76,125.874,3,0,0,1,1,0,2,2,0,3,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"296","0100000035E",125.874,126.482,0,0,0,0,0,0,0,0,0,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"297","0100000035E",126.482,126.819,5,0,0,0,0,0,5,2,4,1,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",11,4,12,1
"298","0100000035E",126.819,127.017,4,0,0,0,0,0,4,2,4,0,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Bitum Conc",1,4,12,6
"299","0100000035E",127.017,127.608,3,0,2,0,2,2,1,2,1,2,2011,39117,"VR","No Barrier/Unkown",4,"Other",24,10,"Other",1,4,12,6
